medcode	stdterm	attrstring	linkto	comment
600001	 mother well 	TT	44354	
600002	 mother unwell 	TT	16939	
600003	 father well 	TT	47746	
600004	 father unwell 	TT	18077	
600005	 parents consanguineous 	TT	29062	
600006	 consanguineous family 	TT	29062	
600007	 teetotal 	T	12949	
600008	 alcohol none 	TT	12970	
600009	 alcohol rarely 	TT	385	
600010	 alcohol occasionally 	TT	749	
600011	 alcohol moderate 	TT	322	
600012	 alcohol spirits 	TT	12971	
600013	 alcohol beer 	TT	2689	
600014	 alcohol wine 	TT	12969	
600015	 smoker occasional 	TT	12941	
600016	 smoker 10 per day 	TTTT	1878	
600017	 smoker 15 per day 	TTTT	1878	
600018	 smoker 30 per day 	TTTT	3568	
600019	 smoker 20 per day 	TTTT	3568	
600020	 smoking excessive 	TT	1822	
600021	 excessive smoking 	TT	1822	
600022	 ex heavy smoker 	TTT	12956	
600023	 former smoker 	TT	12946	
600024	 smoking wishes to stop 	TTIT	12240	
600025	 smoking wants to stop 	TTIT	12240	
600026	 smoker pipe 	TT	12947	
600027	 smoker non 	TT	60	
600028	 smoker own rolled 	TTT	12945	
600029	 exercise adequate 	TT	13084	
600030	 exercise inadequate 	TT	13086	
600031	 vegetarian 	T	4151	
600032	 exclusion diet 	TT	27364	
600033	 inpatient hospital 	TT	10533	
600034	 long stay hospital patient 	TTTT	31385	
600035	 contact asbestos 	TT	1066	
600036	 contact asbestos dust 	TTT	1066	
600037	 menstruation started 	TT	4203	
600038	 regular periods 	TT	3395	
600039	 multipara 	T	29662	
600040	 multiparity 	T	29662	
600041	 pregnancy symptoms 	TT	335	
600042	 painful coitus 	TT	365	
600043	 falling sensation pelvic region 	TTTT	11441	
600044	 sensation pelvic floor dropping 	TTTT	11441	
600045	 pelvis sensation of dropping 	TTIT	11441	
600046	 appetite normal 	TT	2271	
600047	 appetite abnormal 	TT	14717	
600048	 weight fluctuation 	TT	1581	
600049	 weight problem 	TT	1581	
600050	 weight steady 	TT	14763	
600051	 weight gain 	TT	1018	
600052	 weight loss 	TT	654	
600053	 feeding well 	TT	16066	
600054	 feeding normally 	TT	16066	
600055	 feeding poorly 	TT	15573	
600056	 rigors 	T	8707	
600057	 sweating excessive 	TT	4314	
600058	 sweating night 	TT	1740	
600059	 sweating excessive night 	TTT	1740	
600060	 fatigue 	T	1404	
600061	 crying 	T	2893	
600062	 sore neck gland 	TTT	7986	
600063	 sore glands 	TT	7986	
600064	 swollen glands 	TT	5226	
600065	 stiff neck 	TT	1355	
600066	 bad back 	TT	153	
600067	 ache spine 	TT	153	
600068	 chronic backache 	TT	153	
600069	 ache upper spine 	TTT	6226	
600070	 falls alcoholic 	TT	6008	
600071	 falls over easily 	TTT	6008	
600072	 falls recurrently 	TT	8694	
600073	 feels run down 	TTT	1746	
600074	 unwell 	T	1746	
600075	 feels ill 	TT	1746	
600076	 very ill 	TT	13048	
600077	 cough with sputum 	TIT	1234	
600078	 purulent phlegm 	TT	1234	
600079	 productive cough 	TT	1234	
600080	 phlegm coughing up 	TTT	3645	
600081	 night cough 	TT	3068	
600082	 cough chesty 	TT	292	
600083	 cough bronchial 	TT	1025	
600084	 spasmodic cough 	TT	1612	
600085	 cough chronic 	TT	1612	
