order	w1	p1	w2	p2	w3	p3	w4	p4	w5	p5	a1	a2	a3	a4	a5	death_only	comment
397	son|daughter|grandfather|grandmother|relative|relation|family	*									 family					FALSE		
398	rdw	_:=-	[NUMB_5_100]	*								LABS rdw				FALSE		
399	red|blood		cell		distribution|dist		width	_:=-	[NUMB_5_100]	*					LABS rdw	FALSE		
400	med|sick|medical		3|4|5|6|cert|certificate		[DURA]|[DATE]	*					sicknote	sicknote	sicknote			FALSE		
401	[NUMB]		bpm|beats	*							LABS pulse					FALSE		
402	p|pulse|af	_:=-	[NUMB_20_300]	*	reg|irreg|irrreg|irregular|regular|sinus|bpm|per|min|sr	*						LABS pulse				FALSE		
405	[CLIN]		from|until|upto|at|when|while|[CLIN]		[ATTR age]		[ATTR age]	*			pmh	pmh	ageprev	ageprev		FALSE		
406	pulse|hr|pulserate	_:=-	[NUMB_20_300]	*								LABS pulse				FALSE		
407	age|aged	*	[DURA]	*							age	age				FALSE		
409	[NUMB]		mg|mcg|g|gram|grams		/		l|dl|ml	*			.	.	.	.		FALSE		
411	alb|albumin	_:=-	[NUMB_10_50]	*								LABS albumin				FALSE		
415	full|complete		blood		count	_:=-	normal|abnormal	*						LABS fbc		FALSE		
416	fbc|cbc	_:=-	normal|abnormal	*								LABS fbc				FALSE		
417	ca|calcium	_:=-	[NUMB_1_4]	*								LABS calcium				FALSE		
418	[CLIN]		over|for|during		past|last		[DURA]	*			_	ignore	ignore	duraprev		FALSE		
422	[ATTR followup]		on|by		[DATE]	*					followup	followup	followup			FALSE		
423	[ATTR followup]		in|within		[DURA]	*					followup	followup	followup			FALSE		
424	[ATTR followup]		[DURA]|[DATE]	*							followup	followup				FALSE		
425	hdl	_:=-	[NUMB]	*								LABS hdl				FALSE		
426	international		normalised		ratio	_:=-	[NUMB_0.5_12]	*						LABS inr		FALSE		
427	[ATTR followup]		[NUMB_1_12]		m	*					followup	DURA_mths followup	followup			FALSE		
428	[ATTR followup]		[NUMB_1_12]		w	*					followup	DURA_wks_ followup	followup			FALSE		
429	folate	_:=-	[NUMB]	*								LABS folate				FALSE		
430	b		12	_:=-	[NUMB]	*							LABS cobalamin			FALSE		
432	ferr|ferritin	_:=-	[NUMB]	*								LABS ferritin				FALSE		
434	[ATTR followup]		[CLIN]		[DURA]|[DATE]	*					ignore	_	followup			FALSE		
435	mcv	_:=-	[NUMB_60_120]	*								LABS mcv				FALSE		
436	wbc|wcc|leucocyte|leucocytes	_:=-	[NUMB]	*								LABS wbc				FALSE		
437	white|w	_.	blood|b	_.	cells|c	_:=-	[NUMB]	*						LABS wbc		FALSE		
438	hb|hemoglobin|haemoglobin	_:=-	[NUMB_4_25]	*								LABS haemoglobin				FALSE		
442	see|rv|rev|review|retest|reviewed|rpt|repeat|check|recall|recheck|clinic|opd|opa	*									followup					FALSE		
443	follow|next		up|appt|appointment	*							followup	followup				FALSE		
444	r	/	v	*							followup	followup				FALSE		
445	tsh	_:=-	[NUMB]	*								LABS tsh				FALSE		
446	urea	_:=-	[NUMB_2_30]	*								LABS urea				FALSE		
449	cr|crea|creat|creatinine	_:=-	[NUMB_40_500]	*								LABS creatinine				FALSE		
