text	read	priority	comment
1	one	5	
1	single	4	
1 st	first	5	
1 vd	single coronary vessel disease	2	
2	double	4	
2	two	5	
2 diseased vessels	double coronary vessel disease	3	
2 nd	second	5	
2 ndary	secondary	2	
2 ndary to	due to	2	
2 ndary to	secondary to	3	
2 ndry	secondary	4	
2 prev	previous multiple	1	
2 previous	previous multiple	1	
2 v d	double coronary vessel disease	3	
2 vd	double coronary vessel disease	2	
2 vessel disease	double coronary vessel disease	3	
3	three	5	
3	triple	4	
3 diseased vessels	triple coronary vessel disease	3	
3 prev	previous multiple	1	
3 previous	previous multiple	1	
3 rd	third	5	
3 v d	triple coronary vessel disease	3	
3 v d	triple vessel disease of the heart	2	
3 vd	triple coronary vessel disease	3	
3 vd	triple vessel disease of the heart	1	
3 vessel coronary disease	triple vessel disease of the heart	5	
3 vessel disease	triple coronary vessel disease	3	
3 vessel disease	triple vessel disease of the heart	2	
4	four	5	
4 prev	previous multiple	1	
4 previous	previous multiple	1	
a / n	antenatal	5	
a a a	abdominal aortic aneurysm	4	
a and e	a and e department	5	
a and e	a e	3	
a and e	accident and emergency	5	
a and e	accident emergency	5	
a and e	casualty	5	
a and e	emergency	5	
a and e department	a and e	5	
a and e department	accident and emergency	5	
a and e department	casualty	5	
a and e department	emergency department	4	
a d h	anti diuretic hormone	4	
a d v a	animal drawn vehicle accident	4	
a e	a and e	1	
a e	a and e department	1	
a e	casualty	1	
a e	emergency	2	
a e admission	emergency hospital admission	3	
a f	atrial fibrillation	3	
a fib	atrial fibrillation	3	
a i d s	acquired immune deficiency syndrome	5	
a r d s	adult respiratory distress syndrome	5	
a r f	acute renal failure	4	
a s d	atrial septal defect	5	
a v	atrio ventricular	4	
aaa	abdominal aortic aneurysm	4	
aaa	aneurysm abdominal aorta	3	
aau	hospital	1	
abd	abdomen	2	
abd	abdominal	5	
abdo	abdomen	3	
abdo	abdominal	3	
abdomen	abdominal	5	
abdominal	abd	5	
abdominal	abdomen	5	
abdominal aneurysm	abdominal aortic aneurysm	2	
abdominal aortic aneurysm	a a a	4	
abdominal aortic aneurysm	aaa	4	
abdonimal	abdominal	3	
abn	abnormal	4	
abnorm	abnormal	4	
abnormal	abn	4	
abnormal	abnorm	4	
abnormal	abnormality	5	
abnormality	abnormal	5	
absent	lack of	3	
absent	no	4	
absent	not	4	
ac m i	acute myocardial infarction	3	
acc	accident	4	
accid	accident	4	
accident	acc	4	
accident	accid	4	
accident and emergency	a and e	5	
accident and emergency	a and e department	5	
accident emergency	a and e	5	
accident emergency	a and e department	1	
accident emergency	casualty	5	
accom	accommodation	5	
accommodation	accom	5	
acmi	acute myocardial infarction	4	
acquired immune deficiency syndrome	a i d s	5	
acquired immune deficiency syndrome	aids	5	
acute admissions unit	hospital	1	
acute myocardial infarction	acmi	4	
acute non st segment elevation myocardial infarction	non st elevation mi	4	
acute renal failure	a r f	4	
acute renal failure	arf	4	
acute respiratory distress syndrome	a r d s	5	
acute respiratory distress syndrome	ards	5	
acute st segment elevation myocardial infarction	acute stemi	5	
acute st segment elevation myocardial infarction	st elevation mi	4	
acute st segment elevation myocardial infarction	stemi	4	
acute stemi	acute st segment elevation myocardial infarction	5	
addmission	admission	1	
adenocarcinoma	malignant neoplasm	2	
adh	anti diuretic hormone	4	
admisn	admission	5	
admission	admisn	5	
admission	admissions	5	
admission	admit	5	
admission	admitted	5	
admissions	admission	5	
admit	admission	2	
admit	admitted	5	
admitted	admission	5	
admitted	admit	5	
admitted	admtd	4	
admitted	hospital admission	2	
admitted hosp	hospital admission	1	
admitted to hosp	hospital admission	2	
admtd	admitted	4	
adult respiratory distress syndrome	a r d s	5	
adult respiratory distress syndrome	ards	5	
adva	animal drawn vehicle accident	4	
adverse reaction	side effect of	1	
adverse reaction to	side effect of	2	
af	atrial fibrillation	3	
after	following	5	
after cocaine	adverse reaction to cocaine	3	
after injecting cocaine	adverse reaction to cocaine	3	
after snorting cocaine	adverse reaction to cocaine	3	
after taking cocaine	adverse reaction to cocaine	3	
after using cocaine	adverse reaction to cocaine	3	
against malaria	malaria prophylaxis	2	
aids	acquired immune deficiency syndrome	5	
aircr	aircraft	4	
aircraft	aircr	4	
aki	acute kidney injury	3	
aki	acute renal impairment	3	
alcoholic liver disease	alcoholic liver damage	2	
allergic	adverse reaction to	1	
allergic	allergy	5	
allergic to	adverse reaction to	1	
allergy	allergic	5	
alzheimer	alzheimer disease	3	
amd	senile macular degeneration	3	
angio	angiogram	4	
angio	angiography	4	
angiogram	angio	4	
angiography	angio	4	
angogram	angiogram	2	
anim	animal	4	
animal	anim	4	
animal drawn vehicle accident	a d v a	4	
animal drawn vehicle accident	adva	4	
ankle	ankle joint	5	
ankle	lower limb	1	
ankle joint	ankle	5	
ankle oedema	oedematous legs	3	
antenatal	a / n	5	
anterior left ventricular	left ventricular	2	
anteroapical	left ventricular	2	
anti diuretic hormone	a d h	4	
anti diuretic hormone	adh	4	
antig	antigen	4	
antigen	antig	4	
anxiety	anxious	5	
anxious	anxiety	5	
aortic dissection	dissecting aortic aneurysm	5	
apnoeic attack	neonatal apnoeic attack	2	
appointment	appt	4	
appt	appointment	4	
ards	acute respiratory distress syndrome	5	
ards	adult respiratory distress syndrome	5	
arf	acute renal failure	4	
arm	upper limb	1	
armd	senile macular degeneration	3	
arrhyth	arrhythmia	3	
arthritis	degenerative joint disease	3	
asd	atrial septal defect	5	
ashtma	asthma	2	
asthmatic	asthma	3	
athlete	competitive athlete	3	
atrial	auricular	4	
atrial septal defect	a s d	5	
atrial septal defect	asd	5	
atrio ventricular	a v	4	
atrio ventricular	av	4	
atrioventricular	av	4	
atrium	auricle	4	
attack	attacks	5	
attacks	attack	5	
attempt	attempted	5	
attempted	attempt	5	
attendance	attender	4	
attender	attendance	4	
attender	attends	5	
attends	attender	5	
auricle	atrium	4	
auricular	atrial	4	
av	arteriovenous	3	
av	atrio ventricular	4	
av	atrioventricular	4	
aware of	knows	5	
b b b	bundle branch block	4	
b c c	basal cell carcinoma	4	
b c g	b c g	5	
b c g	bcg	5	
b n p	brain natriuretic peptide	4	
b o o	bladder outflow obstruction	4	
b p h	bengn prostatic hypertrophy	4	
b p h	benign prostatic hypertrophy	4	
b pne	bronchopneumonia	2	
b pneu	bronchopneumonia	2	
b s	body surface	3	
basal cell carcinoma	b c c	4	
basal cell carcinoma	bcc	4	
bbb	bundle branch block	4	
